date,capacity,turnover,open,high,low,close,change,transaction
2023-06-20,30784850,3463018660,113.0,113.5,111.5,112.5,0.0,11952
2023-06-21,34892673,3931657328,112.5,113.0,112.0,113.0,0.5,17874
2023-06-26,100474885,11551510415,113.5,116.0,113.0,115.5,2.5,36472
2023-06-27,67357566,7750488365,116.0,116.5,114.0,114.0,-1.5,25369
2023-06-28,45726557,5262217985,114.5,116.0,114.5,115.0,1.0,19399
2023-06-29,39965191,4562815301,116.0,116.0,113.0,113.0,-2.0,23356
2023-06-30,48499554,5448631430,113.0,113.0,111.0,113.0,0.0,22524
2023-07-03,88011450,10089020094,114.0,115.0,113.5,115.0,2.0,32871
2023-07-04,88850920,9848987145,112.0,112.5,109.5,110.0,0.0,46037
2023-07-05,51570862,5599325907,110.0,110.5,107.5,108.5,-1.5,33413
2023-07-06,70071473,7440779674,107.5,107.5,105.0,105.5,-3.0,41285
2023-07-07,30868905,3247695283,105.0,106.0,104.5,105.5,0.0,18448
2023-07-10,25044324,2631065877,105.5,106.0,104.5,104.5,-1.0,17505
2023-07-11,23862651,2503776581,105.0,105.5,104.5,105.0,0.5,13567
2023-07-12,37780699,4033895506,105.0,107.5,105.0,107.5,2.5,15229
2023-07-13,30341999,3278152117,108.5,109.0,107.0,107.0,-0.5,14701
2023-07-14,43454213,4702063534,107.5,109.5,106.5,109.5,2.5,18981
2023-07-17,41502082,4572570706,110.0,111.0,109.5,110.5,1.0,17109
2023-07-18,52688441,5894531944,110.5,113.5,110.0,112.0,1.5,25727
2023-07-19,54967023,6055023271,113.0,113.5,108.0,108.5,-3.5,26548
2023-07-20,33167955,3600029166,109.0,110.0,107.5,108.0,-0.5,13586
2023-07-21,25278976,2715559372,107.0,108.5,106.5,107.5,-0.5,10913
2023-07-24,19896359,2146631209,108.0,108.5,107.0,108.0,0.5,9411
2023-07-25,61862737,6856399236,108.5,112.0,108.5,112.0,4.0,25155
2023-07-26,30223635,3373004998,112.0,112.5,111.0,111.5,-0.5,18007
2023-07-27,32278647,3590682916,112.0,113.0,110.5,110.5,-1.0,18735
2023-07-28,23255646,2555161402,110.5,111.0,109.5,109.5,-1.0,15209
2023-07-31,30730719,3355672410,110.5,111.0,108.5,108.5,-1.0,14355
2023-08-01,24113256,2653917873,109.5,111.0,109.0,110.5,2.0,9945
2023-08-02,34095728,3706374022,110.0,110.5,108.0,108.0,-2.5,20180
2023-08-04,40122815,4419908982,109.0,111.0,109.0,111.0,3.0,16129
2023-08-07,45621252,5055979980,112.0,112.5,109.5,109.5,-1.5,20471
2023-08-08,29311389,3236790526,110.5,111.0,109.5,110.5,1.0,10143
2023-08-09,20468574,2265522164,110.5,111.5,110.0,110.5,0.0,9312
2023-08-10,22401300,2462848227,111.0,111.0,109.5,110.0,-0.5,9959
2023-08-11,22854757,2490127311,110.0,110.5,108.5,108.5,-1.5,14053
2023-08-14,30169722,3309279031,109.5,110.5,109.0,110.0,1.5,13517
2023-08-15,64762274,6974932952,108.0,109.0,107.0,107.0,-3.0,36735
2023-08-16,44390097,4696567368,106.5,106.5,105.0,105.5,-1.5,27924
2023-08-17,24753076,2631718597,105.5,107.0,105.5,106.5,1.0,10441
2023-08-18,17412067,1848910219,106.5,107.0,105.5,106.0,-0.5,11848
2023-08-21,10884357,1154268088,106.5,107.0,105.5,106.0,0.0,7109
2023-08-22,13225842,1408358404,106.5,107.0,106.0,106.5,0.5,6142
2023-08-23,16581083,1768910267,106.5,107.5,106.0,106.5,0.0,6682
2023-08-24,51036295,5583078102,109.0,110.5,108.5,109.5,3.0,21344
2023-08-25,21353911,2312509951,108.5,109.0,108.0,108.0,-1.5,9503
2023-08-28,16852420,1827707759,108.5,109.0,108.0,108.0,0.0,8352
2023-08-29,64563484,6850480774,108.0,108.5,105.0,106.0,-2.0,29666
2023-08-30,20861174,2217019155,106.5,107.0,106.0,106.0,0.0,10060
2023-08-31,57884785,6155654231,106.0,107.0,105.5,106.5,0.5,10679
2023-09-01,14106975,1510351150,106.5,107.5,106.5,107.5,1.0,6817
2023-09-04,21399910,2279496433,107.5,108.0,105.5,106.5,-1.0,10338
2023-09-05,13947190,1486693623,106.5,107.0,106.0,107.0,0.5,5467
2023-09-06,17723586,1882250089,106.5,107.0,106.0,106.0,-1.0,10036
2023-09-07,14703513,1553316168,106.0,106.0,105.5,105.5,-0.5,9238
